Category_1,Category_2,Ordinal_1,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Target
C,X,Medium,-0.99,-2.578,-2.23,1.68,-1.039,-6.89,2.129,4.125,2.04,-0.1328,,2.338,116.2
A,X,,-1.005,4.918,-4.605,1.353,0.838,0.741,3.072,-2.459,2.242,1.773,2.664,-5.68,43.1
A,X,Medium,4.78,-0.594,-0.2954,0.782,,-1.539,0.05948,3.482,0.677,2.633,-2.285,-2.398,-20.7
B,Y,Low,-0.8467,-2.865,-1.239,0.969,-0.797,-1.735,1.63,,1.915,2.473,0.5083,1.792,70.2
C,X,Medium,0.1002,-0.2705,-1.53,-2.082,,,1.523,2.596,2.166,-2.682,-4.2,,36.84
,Y,Low,-0.4724,0.194,-0.2932,-0.3872,-0.2341,1.527,1.454,1.104,2.045,-2.785,4.977,3.395,59.8
C,X,Low,-3.229,0.365,-0.507,0.9175,-1.263,-1.6875,0.792,2.822,1.51,-1.46,-0.7114,-2.51,104.44
B,Y,Medium,1.229,-1.902,-1.519,1.6,0.1459,3.67,1.201,-4.793,-1.046,1.524,1.759,-4.78,55.62
A,X,High,1.673,0.5747,-2.738,3.742,-0.0706,1.7,2.123,3.86,0.8306,3.941,2.348,-5.574,9.56
C,X,High,1.718,-3.115,-0.717,2.568,,-0.6406,0.1287,3.041,,0.7407,2.586,-0.4067,58.97
B,Y,High,4.22,-1.362,-1.501,-0.9023,0.5684,-1.442,0.5483,-2.078,0.3516,0.3538,1.244,1.107,5.242
C,Y,Low,5.305,-0.1152,0.874,3.586,-0.8096,-2.611,1.317,1.855,2.047,2.084,1.427,2.324,33.44
B,X,Low,0.4712,-1.613,1.509,0.6074,0.5103,-1.269,1.027,2.28,1.486,0.8423,-0.2893,1.429,64.44
C,X,Low,0.5825,3.52,0.568,3.168,0.1315,-3.969,-0.106,-0.731,2.295,1.5625,-1.535,-2.451,86.7
B,X,Medium,0.561,0.775,1.035,4.883,-0.2822,0.9233,0.401,1.469,-0.8037,-1.028,3.219,3.129,94.9
B,Y,Medium,0.2115,-3.96,,-3.12,-2.178,-3.795,0.07166,0.5854,1.974,-0.695,,3.7,18.81
B,Y,Low,-2.95,-3.129,0.9214,-2.6,-1.993,2.29,1.776,2.234,0.379,0.08844,-0.9526,-1.201,56.1
A,,Low,-4.832,0.611,,1.035,-1.133,1.068,0.2292,3.035,0.4956,-0.521,4.62,-1.007,81.5
C,Y,High,-2.766,1.799,3.195,,1.91,-0.3418,1.405,,0.9976,-0.3828,0.0961,2.215,123.94
C,Y,Low,1.243,-0.8823,-0.6875,,-0.4277,0.728,-1.866,,0.726,-1.3545,2.85,-1.201,72.8
A,X,Low,-0.4812,0.2184,0.9,-0.216,0.202,-3.342,0.8735,1.241,1.307,-0.1931,4.957,2.87,57.9
,X,Low,-0.02585,1.387,-1.696,-2.773,0.945,-0.1086,0.745,,1.763,-1.422,-0.848,2.805,46.88
A,X,Medium,1.179,-4.242,-0.1285,-0.2185,3.22,6.035,1.926,0.946,-0.733,1.442,-0.973,0.5093,49.0
C,Y,Medium,-2.64,2.014,-3.205,1.569,0.5684,0.9478,1.192,1.646,-1.854,,6.01,-1.427,29.73
B,Y,Low,1.004,-3.477,0.9956,-0.01364,0.2395,4.496,1.316,4.086,0.237,3.95,1.577,-1.846,9.78
A,Y,Medium,-1.117,2.918,0.1186,2.38,-0.007866,-1.617,1.19,2.389,1.646,3.227,2.691,0.04086,34.53
A,,High,1.871,0.5454,-0.5576,-0.766,3.14,0.618,2.354,3.479,-0.718,1.178,3.02,-6.023,40.28
B,X,,1.552,-0.8706,-0.05356,-1.248,-1.3955,0.4236,0.5347,5.473,1.706,1.322,-5.633,1.874,-6.098
A,Y,High,-1.915,1.672,-0.604,-0.7886,0.072,-1.449,1.097,3.928,1.213,-1.876,-1.296,1.726,30.78
B,X,Low,0.542,-0.03156,0.1576,,-0.935,0.1953,0.271,-2.855,1.797,-0.8916,3.246,-6.586,116.75
B,X,Low,-3.074,-2.543,-2.059,-2.744,1.346,,1.166,3.908,1.159,0.9487,-4.14,4.98,-2.084
B,X,High,1.5205,3.344,0.03897,-0.3044,0.2944,-2.965,3.02,1.893,-0.4941,-2.889,1.806,,69.56
A,X,Low,1.606,1.2,3.78,3.398,-0.7485,-4.86,2.242,1.514,-0.1273,-0.475,2.527,0.4966,105.06
C,Y,Low,0.4736,-0.685,0.2286,-0.392,1.669,3.361,2.07,2.668,2.246,3.389,-4.16,1.032,-6.22
C,Y,Low,-1.058,1.643,0.1923,-2.213,,1.15,1.814,-0.2378,0.945,-0.002453,2.201,-6.26,59.1
B,X,High,-0.081,3.74,0.2437,-2.719,-0.517,6.867,1.407,-0.2886,0.3794,-4.33,3.148,8.016,-12.305
C,Y,Low,3.246,1.871,3.783,0.1294,1.889,1.05,,-0.558,-0.0675,1.842,0.1998,7.953,26.06
C,Y,Medium,,0.53,-0.3079,0.345,-0.542,-1.031,0.9956,-0.5537,1.181,1.304,1.853,2.607,53.0
A,X,Medium,1.989,-1.974,0.6704,0.1758,1.153,-6.73,1.012,0.01894,0.2156,-2.46,6.746,-1.495,102.2
B,Y,Low,-4.09,0.405,1.144,1.774,2.443,-6.17,1.767,-2.383,0.02,3.182,-4.81,-2.383,145.1
B,X,Low,2.922,-7.484,-0.5835,1.871,-0.9414,-0.05566,1.724,4.19,1.231,,-1.222,2.43,19.06
B,X,Low,1.013,2.834,3.793,-5.613,0.4736,5.99,0.999,1.681,0.0562,1.685,1.435,0.861,-47.78
B,X,,0.05875,-2.312,5.516,-0.7134,-1.2705,0.2705,0.911,0.5273,2.504,1.957,-0.5947,-1.798,107.75
C,X,Low,-2.11,6.65,1.166,0.545,0.0562,0.9478,1.412,-0.1251,1.085,1.896,-0.689,8.77,39.44
A,Y,Medium,3.852,3.156,0.912,-3.354,-0.799,-1.271,1.073,0.005444,2.0,1.845,,0.4219,-45.84
C,X,Medium,2.773,1.849,1.579,-2.465,4.492,-0.3625,-0.12103,-3.773,0.8926,1.516,2.322,-2.404,44.47
C,X,Low,,-0.465,-2.18,-0.4226,3.92,-1.311,0.09894,4.17,2.357,2.58,-3.664,-3.434,39.25
B,Y,Medium,2.273,2.043,0.8184,-1.048,-1.242,-3.568,1.605,0.911,-0.3506,-1.036,1.638,1.636,31.56
B,Y,High,-0.2488,-1.551,1.774,-0.5093,-1.108,-0.4575,-0.7974,-1.135,0.894,-0.565,2.744,3.396,58.6
B,Y,High,-2.861,0.2145,1.61,-0.68,-0.4236,0.2012,-0.3103,,0.931,-4.582,-4.617,-6.836,116.6
A,Y,Medium,2.43,3.914,-0.4639,1.144,0.888,3.81,,,1.839,2.66,2.988,2.197,-53.53
,Y,Medium,-0.6343,4.875,-0.3154,-3.59,0.958,2.406,-0.2059,-1.166,-0.9795,-2.266,1.8545,1.588,-16.89
A,X,Medium,-1.824,-0.3562,,1.328,-1.225,-0.3818,0.447,1.131,0.5723,1.451,-0.8975,-1.532,79.3
B,Y,Medium,1.405,-6.223,-0.923,2.238,-1.579,-0.3228,1.259,3.92,1.217,2.467,,1.72,39.84
A,X,Medium,1.736,1.368,0.312,0.657,0.607,-1.242,1.978,-2.807,2.469,-4.824,-2.113,2.104,102.4
C,X,Low,-0.6,2.2,2.121,0.906,3.084,-0.0968,0.3599,3.062,2.096,-0.98,6.715,1.605,79.2
A,X,Medium,1.689,-1.339,0.4973,2.299,2.297,0.5894,0.2202,-0.516,1.811,1.771,1.539,0.1868,59.03
,Y,Low,-6.152,3.96,,0.538,0.868,1.346,2.242,0.3647,1.497,0.8096,4.78,2.912,39.8
B,Y,Medium,-3.076,0.2018,-1.362,5.14,,-0.1799,0.4697,-4.13,0.3774,,2.143,-2.562,130.5
C,X,Medium,2.271,1.689,1.988,0.938,-1.238,-6.867,1.391,1.124,0.852,2.238,-4.492,-5.363,82.56
C,X,High,-1.366,2.752,0.5938,-2.629,-0.6353,2.373,1.905,6.117,-0.2925,0.551,-2.111,-4.293,14.195
B,X,High,0.4587,3.578,,0.5083,1.265,-2.283,-0.2703,-0.01793,0.793,-0.7515,0.732,-2.117,89.2
B,,Medium,-0.7207,0.1545,-0.0913,2.646,2.887,-1.347,1.801,0.10144,-0.646,-0.6597,-4.14,2.465,89.44
C,X,Low,0.523,2.416,-0.704,1.033,,,0.29,0.7305,2.951,1.44,2.88,-1.167,29.61
A,X,Medium,2.336,2.02,0.8784,1.763,0.3645,-0.454,1.913,-3.137,1.85,-0.7334,3.926,3.855,82.94
C,X,Low,-4.375,0.3452,,1.522,-1.248,2.93,2.701,4.57,0.4644,-0.8926,-0.9907,1.7295,129.0
B,X,Low,2.41,-1.016,2.865,1.138,-1.239,-4.04,0.874,-2.068,1.936,3.455,-2.307,2.62,79.1
A,X,Medium,0.08246,0.6807,0.394,4.715,1.044,1.78,1.208,-2.883,1.9,-5.77,-0.02452,3.0,160.6
A,Y,Medium,-2.38,1.201,-0.1804,0.969,-0.2825,-1.334,0.792,0.905,3.008,-0.7075,-1.882,2.59,54.56
B,,Medium,0.3926,,1.601,-0.863,1.641,2.209,1.825,-4.098,-0.4421,,2.172,2.416,65.4
C,X,Low,2.23,-2.408,2.775,,2.37,-3.137,0.9097,4.758,2.379,-4.453,-0.2769,0.1543,93.75
,Y,High,1.889,0.558,1.821,0.06714,0.229,3.807,0.5376,1.987,0.8193,-1.255,-2.33,-0.873,37.6
C,X,Medium,-1.648,1.225,0.993,,-1.474,-4.33,1.551,1.63,-1.841,2.602,0.455,-3.385,62.12
A,X,High,1.645,-3.842,-1.649,0.414,,1.001,1.136,1.747,3.29,,4.316,4.508,42.12
B,X,Low,4.45,0.01678,1.642,1.617,-0.6904,-3.146,-0.8164,2.6,,-0.786,0.8296,-2.857,46.03
A,Y,Medium,2.16,4.21,2.502,0.41,-1.511,,2.314,0.6494,0.3267,-0.3118,-3.746,-3.27,23.36
B,Y,Low,2.258,2.307,0.4285,-1.406,1.464,0.4583,0.592,-1.638,1.589,-4.227,0.879,1.573,31.73
B,Y,Low,-1.577,3.682,-0.7485,1.848,0.2208,3.002,0.796,-1.683,0.228,-3.531,-2.762,0.42,63.22
A,X,Low,-1.705,-0.3887,-0.4626,-0.523,2.027,-0.2297,0.8315,,0.504,0.087,7.594,-0.4553,70.1
C,Y,Medium,,-2.264,-1.346,3.473,,-3.553,0.587,-2.756,0.787,0.312,3.262,0.4001,149.1
B,Y,High,3.0,-2.11,1.136,-4.477,-0.773,-1.1045,0.923,3.045,0.0569,0.3364,0.5444,0.773,-17.67
B,,High,,-1.281,0.724,-1.133,0.574,6.758,0.69,3.41,,1.766,5.613,0.254,32.53
B,X,High,5.25,,1.35,1.657,-0.645,-5.004,-0.4766,4.176,1.279,3.592,-0.6816,4.004,-24.94
,Y,Low,0.2296,4.53,-2.363,2.596,0.848,3.201,0.8496,4.164,-0.4758,1.39,4.535,4.87,-33.34
A,X,Low,-6.33,-0.2556,0.9927,-1.035,0.6963,-1.584,-1.634,3.346,-0.367,-1.203,1.596,-1.491,112.3
C,Y,Medium,2.83,2.748,-1.426,2.559,,-1.956,1.3545,-1.674,0.4502,-0.3022,2.94,0.0652,57.94
B,Y,High,0.2698,1.144,2.303,2.39,-2.973,-2.26,0.645,-1.823,0.4639,-1.221,3.17,-0.2942,123.25
B,X,Medium,1.77,0.1262,-2.63,1.037,1.2705,-2.719,1.039,-0.3584,0.308,-0.1556,-0.58,1.719,40.2
C,Y,Low,2.879,-0.979,-0.757,2.191,-0.4119,3.08,1.493,0.11804,1.064,2.47,4.51,5.867,3.758
A,Y,High,5.656,-6.09,-1.776,-1.482,-0.0637,-2.012,1.091,-0.368,0.963,-0.4807,2.07,-1.499,14.805
A,Y,High,3.277,5.4,-2.455,2.646,0.6206,3.553,1.043,-3.72,0.9805,-5.156,1.746,-1.824,30.52
A,Y,Medium,0.565,-1.043,-1.597,0.942,0.8706,1.149,0.555,2.213,-1.529,1.129,-1.9795,2.195,-12.34
A,Y,Medium,2.64,6.477,-0.9565,0.3906,0.732,-1.961,0.8486,2.896,-0.8574,-1.513,1.687,2.152,-19.9
B,X,Low,-3.99,-1.346,0.966,-1.728,,-0.0936,1.207,1.147,2.441,0.582,-3.428,-1.338,94.56
C,Y,High,-0.9097,0.792,-0.294,1.865,0.9307,-1.089,1.261,1.216,-0.562,3.174,-0.8784,0.959,70.44
A,Y,Low,3.295,0.187,-0.2847,-1.1875,0.2472,-0.776,1.259,6.95,0.2021,-4.2,-1.707,-3.736,13.555
C,Y,High,1.479,-0.5894,0.839,2.662,-2.096,0.6465,0.994,-3.396,-0.1526,-2.158,7.86,4.273,96.56
B,Y,Medium,7.14,2.908,-2.031,-2.5,0.684,2.797,2.404,1.949,0.7534,-1.67,-0.6187,1.158,-84.94
B,X,Low,-3.168,2.898,0.927,,1.287,3.773,,0.636,0.435,-0.366,2.932,1.75,45.38
C,X,Low,4.086,3.71,0.5864,-2.562,1.326,-1.35,0.5864,0.74,-0.1509,0.3232,5.48,-3.74,3.91
B,X,,0.771,-2.076,1.856,2.246,,3.68,0.5977,-0.6787,1.956,3.918,-0.5474,2.691,26.31
A,Y,Medium,-1.906,1.405,,-1.05,-1.523,-3.137,1.29,0.3384,0.4963,-1.368,3.361,1.595,48.2
A,Y,Medium,3.18,2.775,3.418,2.693,1.192,2.498,1.253,5.36,1.02,-2.373,-0.0944,3.223,34.47
C,Y,Low,-1.353,-0.985,0.9873,-0.6084,3.145,0.4568,,-8.2,-0.7876,-0.2103,1.92,-0.9795,129.4
A,Y,Medium,2.691,-4.41,-2.219,1.21,-1.594,-4.777,0.2362,1.199,,5.613,-2.645,1.47,-5.688
C,Y,High,2.508,-1.627,1.523,0.8716,0.04364,-0.3945,0.3408,-0.7637,-1.497,2.164,-0.1467,-2.469,47.88
B,X,,-3.678,2.799,-0.4272,2.43,-1.573,0.3635,0.8022,-0.07056,-0.7695,,-8.72,2.967,74.1
C,Y,High,1.238,-1.442,-2.773,-1.578,0.996,2.064,-0.3374,3.361,-0.9326,5.57,4.277,-1.715,-50.72
C,Y,Low,-1.098,-0.9917,-1.415,6.348,1.569,2.537,0.5454,2.588,2.38,-0.003637,-0.84,-3.453,145.4
A,X,Medium,1.9795,1.498,0.8965,0.778,-0.1365,-2.71,1.693,2.871,-0.566,1.892,,-1.47,24.36
A,X,Medium,1.076,-3.645,-0.1608,2.41,-1.281,-1.172,0.2491,0.8315,1.584,1.126,-0.2013,-3.24,81.8
,Y,Medium,1.793,-3.04,0.8696,0.1936,1.523,-0.1393,2.396,-2.447,1.983,-0.4502,1.384,5.94,71.06
B,,,-3.293,1.356,-0.585,,1.546,2.957,1.325,0.2273,0.7256,-4.016,-8.375,-0.2446,63.38
C,Y,Low,-1.557,-0.8213,2.428,-1.256,-1.93,-0.8584,0.2455,1.032,2.482,-1.005,-0.675,-0.865,83.6
C,X,Low,-3.92,-0.7993,,0.784,2.275,1.18,1.584,-0.4053,0.1543,2.04,-6.117,3.963,81.3
B,Y,Low,-1.056,0.173,2.674,-2.732,-0.467,-3.008,0.2346,3.484,1.971,0.2433,1.324,8.984,15.13
C,Y,Low,2.246,0.5522,1.312,1.667,-0.151,5.06,0.9575,1.789,-0.058,-4.4,,-4.258,70.75
A,Y,High,3.287,-1.36,3.555,1.256,1.421,0.6035,0.586,1.844,1.723,4.38,,-1.684,33.03
B,Y,Medium,-0.3225,-2.812,2.055,-1.565,1.987,-2.78,0.1296,,3.805,0.31,-2.219,-0.0668,101.6
C,X,Medium,3.14,1.192,-0.739,1.56,0.671,-2.223,1.207,-0.433,0.949,0.2408,3.123,,61.44
C,Y,High,3.824,5.258,0.571,-0.2328,-2.541,-1.837,0.955,-1.111,0.66,1.593,-2.828,0.2644,-12.15
B,Y,Low,1.509,1.955,0.7856,-3.062,0.5967,-0.003098,1.391,0.5967,-0.0854,3.979,0.2942,-3.37,-24.81
C,Y,High,4.26,-1.236,0.73,-1.944,0.00848,-0.988,0.333,-1.305,1.132,-2.887,-1.537,6.05,38.6
B,Y,,6.01,1.572,0.6733,2.51,-2.03,0.55,0.3945,0.3613,3.152,0.2693,3.74,-0.821,9.7
A,Y,Low,1.497,0.7,-1.108,-0.3657,0.8403,,1.699,1.186,0.9976,0.3757,-1.651,3.59,-8.44
A,X,Medium,1.564,0.1769,0.6196,1.6045,1.979,,2.467,-0.948,-0.0187,1.788,-3.904,-2.443,72.9
B,X,Medium,-3.613,-1.528,3.451,4.445,0.598,1.586,0.1048,2.43,1.591,1.368,-4.332,-0.7324,145.1
C,X,High,1.001,1.903,2.059,3.111,0.5635,2.115,0.695,-3.734,0.3152,7.266,-2.2,-2.482,61.56
B,Y,Medium,0.1686,-2.297,2.664,-4.61,-0.07056,1.82,1.491,5.875,1.009,-5.77,2.545,1.833,51.84
B,X,Low,0.4526,5.918,-1.314,0.3784,0.1892,-1.493,1.237,-2.252,1.609,1.597,-2.287,-2.168,66.56
B,Y,High,-0.942,1.653,,-3.186,0.702,0.328,0.2563,0.2507,1.053,1.672,-0.3245,3.104,-11.04
C,X,High,1.253,-0.3074,-1.4,2.291,-1.912,1.561,0.9385,-0.573,1.61,1.8955,4.844,-0.389,45.16
C,,High,3.018,-0.9663,-1.746,-1.776,-0.802,-4.08,1.42,-0.01497,0.0431,-1.316,2.207,-4.02,44.47
C,X,Low,2.533,-2.29,0.3254,-1.261,-0.8804,-0.1808,-1.22,,0.3696,0.5664,3.18,-2.742,14.02
B,X,Low,-0.227,-0.524,0.313,0.898,1.649,-1.607,0.2878,3.072,0.628,3.932,-1.281,-0.769,39.9
B,X,Medium,1.029,3.309,-0.452,2.234,0.306,5.54,0.701,0.4927,1.72,-0.3203,-0.3584,-4.01,24.31
C,X,Low,2.523,0.00821,0.3994,1.014,0.7705,-2.756,0.3662,2.89,1.976,-1.608,-1.579,5.8,61.56
A,X,Medium,-1.545,,-1.988,-1.453,0.3994,-0.821,1.863,6.04,0.965,0.03995,3.4,-2.732,34.06
A,X,Medium,-1.289,3.494,-1.585,-0.2654,-1.799,-0.03238,0.4214,1.762,0.2876,,-0.432,1.463,-28.66
A,Y,Low,-1.29,1.464,-0.1606,0.841,,0.576,-0.5234,2.213,0.3003,2.184,4.926,-0.2932,-4.918
C,Y,High,-0.462,-0.983,0.2332,2.541,0.04163,-3.049,,-4.055,-0.532,3.574,-0.468,0.4963,103.7
C,X,Low,1.609,0.5527,-1.977,-1.824,1.403,3.945,0.9,-0.92,0.1342,2.133,1.459,-1.603,-6.21
A,X,High,-1.977,-3.12,1.452,1.059,0.6694,2.979,2.295,8.625,0.8623,-2.75,,-1.012,82.94
C,,Low,3.928,1.839,-1.6455,-1.125,1.581,2.393,0.937,1.208,0.08307,3.822,-0.2065,-0.601,-51.97
A,X,Medium,-0.389,4.68,2.775,0.6177,0.533,-3.555,2.074,1.605,0.6377,1.955,0.3123,0.3264,69.56
B,X,Medium,-2.871,-0.889,-1.51,0.2344,-1.271,-2.488,0.413,-0.6255,0.2788,1.4375,,5.1,72.06
C,Y,High,-1.443,0.04337,2.414,-0.3333,1.541,2.033,1.038,-0.2432,0.8105,1.388,5.508,2.64,69.2
,Y,Low,,1.52,-0.661,-1.842,-0.0431,0.2405,0.796,-1.803,0.5093,0.2766,-0.925,1.333,45.0
B,Y,Medium,-3.29,3.31,-1.381,0.2083,,0.6035,-0.7944,-3.203,1.743,0.1023,,4.25,47.6
A,Y,Medium,0.9155,-1.068,1.345,0.5713,0.2163,-3.668,1.898,-0.6025,1.01,-0.4053,3.754,0.0193,94.94
A,X,Medium,-1.91,1.663,-3.021,3.975,0.5947,3.186,2.438,0.1754,0.2595,-2.047,-3.574,0.3962,87.7
B,X,High,4.78,-0.7485,-0.3677,-0.125,2.0,-2.094,0.817,0.8696,0.01133,-2.729,-2.59,3.568,40.06
A,X,Medium,1.059,1.543,-0.712,-0.926,0.3127,2.273,1.238,1.515,,0.068,-0.492,-1.869,16.66
B,X,Low,2.303,1.335,0.841,0.07086,3.342,2.432,-0.18,4.64,2.127,-1.879,-0.0492,2.543,7.49
B,X,Low,,2.709,,3.467,3.03,0.724,1.182,-2.246,2.246,2.95,1.332,-0.958,135.2
C,X,Medium,2.041,-0.602,3.209,-0.7314,4.02,2.555,-0.4226,-3.986,0.466,-3.355,-4.19,5.9,109.7
B,X,Low,0.4622,,-0.8003,-1.442,3.783,3.092,2.637,-2.783,3.04,0.1794,-6.11,-3.297,56.1
B,Y,Low,-0.6846,-2.793,-1.599,-1.161,0.572,-0.11096,0.416,1.121,2.791,0.8906,-0.7056,-3.889,57.25
A,X,Medium,3.217,4.64,-3.096,-1.188,0.0427,0.941,0.2805,-0.3774,-0.3035,-0.8574,1.913,2.514,-41.25
B,X,Low,-2.336,0.9043,0.4404,-2.941,1.577,0.3528,2.848,1.352,1.437,-2.596,-3.822,-3.314,101.06
B,X,High,1.733,5.273,0.26,-4.07,-1.444,,1.44,-0.02113,1.881,,-0.466,-0.2993,-40.2
C,Y,Low,-1.766,,2.36,-1.008,0.4531,-0.65,-0.3062,-2.295,1.375,-2.715,-3.031,11.15,56.4
C,Y,,-0.3442,0.1278,0.8706,-0.5303,1.058,0.4465,1.879,-1.754,1.907,-2.45,-1.192,-3.434,119.56
A,Y,Medium,-0.9487,1.199,-0.1877,1.234,-0.9863,-3.055,2.178,1.339,-0.1536,-4.367,4.676,3.375,85.44
A,X,Low,-1.826,1.054,0.2725,-1.498,-1.094,-4.21,1.936,-1.165,2.053,0.2646,-2.412,2.867,53.6
C,Y,High,-4.14,-2.312,-3.092,-2.01,-0.6885,3.617,-0.3286,2.559,-0.5376,3.828,-0.3171,0.4517,-23.98
A,Y,Medium,1.677,3.766,-2.402,0.393,0.778,-3.725,1.859,0.3018,1.769,-2.992,0.2803,,44.94
A,X,Medium,-1.635,-1.535,1.054,3.73,1.746,1.098,0.1975,3.104,-0.7607,2.55,-2.025,1.724,87.5
C,X,Low,3.111,1.041,-1.631,1.776,,-2.994,2.088,-0.777,1.629,1.554,0.6855,0.4807,57.44
C,X,High,4.496,-1.356,3.621,-1.978,,2.139,0.351,0.3008,2.832,1.928,1.31,0.6157,31.86
B,Y,Medium,0.7944,,-1.776,2.04,1.952,2.59,2.246,3.242,0.532,-0.994,1.964,-5.656,45.94
C,Y,Low,-1.091,-1.877,1.203,-0.256,-1.044,,1.095,1.735,2.238,-2.457,-0.9995,0.769,123.9
A,X,Low,2.553,2.777,1.112,-0.571,2.268,0.406,1.347,3.406,0.5923,-0.1615,-5.03,2.498,-19.62
B,X,High,-1.267,1.08,1.55,2.293,0.921,-5.156,1.055,-2.082,0.969,3.988,3.328,3.441,105.44
A,Y,Medium,-0.2426,-0.1831,2.934,4.344,0.8833,2.807,0.05487,-2.443,0.8306,-1.311,1.058,0.4583,123.4
B,Y,Low,1.316,2.074,-3.15,-0.823,1.661,1.141,1.137,2.236,0.4866,1.184,2.719,-2.44,-13.086
C,X,Low,0.8906,1.419,-0.8086,-1.54,2.91,-2.445,0.1586,4.27,-0.2808,-1.945,,0.888,45.44
B,X,Medium,0.822,-0.4023,-1.38,1.37,-0.9766,-4.668,2.25,3.559,2.049,-1.367,-1.909,1.269,53.28
C,X,Low,-1.341,1.32,-0.2449,-1.273,1.754,,0.846,0.1691,1.889,-3.219,0.5923,0.795,87.1
,X,Low,1.544,-2.11,-0.7417,-1.306,0.08,-3.117,1.8955,1.248,2.412,-1.616,2.635,2.107,62.3
,Y,Medium,-0.0966,-0.5254,,-0.2795,1.437,0.827,1.113,2.463,1.373,0.998,-1.316,0.4507,35.06
A,Y,Low,0.6074,0.8267,0.6523,2.125,-1.837,2.844,0.84,3.037,0.5376,2.402,7.367,-1.728,2.992
A,Y,Low,-2.887,-0.634,1.385,4.387,-1.333,3.271,0.54,-0.298,0.748,4.223,-2.887,2.049,62.84
C,Y,Medium,-2.492,-0.2097,-1.421,2.725,0.4973,-2.111,-1.751,1.254,0.4065,-2.73,-0.8545,-1.7295,122.1
A,X,Medium,-2.418,4.97,3.363,-0.893,-0.723,-0.748,1.463,-2.02,2.17,-1.239,-0.3618,1.475,109.2
C,Y,High,-2.568,-0.7954,0.6772,-2.484,-2.312,-1.738,0.557,-1.175,-1.055,1.192,1.265,3.32,44.44
A,Y,Medium,,-3.236,1.453,1.91,-0.681,2.178,0.0704,-0.68,2.018,0.4998,4.23,2.04,76.1
A,X,High,-0.0644,1.754,-1.342,0.5054,1.843,-0.2583,-0.4275,1.466,0.4746,1.918,2.531,4.65,-4.46
B,Y,Low,4.594,-1.184,-1.842,0.8174,1.348,0.5044,-0.2347,1.667,1.133,-4.297,,0.683,23.81
C,Y,Medium,-0.3477,0.4258,2.31,,0.8955,1.631,-0.791,-0.6333,0.4255,1.537,-1.998,2.266,92.94
C,Y,Medium,2.762,-3.592,1.705,4.4,-0.645,-0.2343,-0.3474,-0.77,0.06036,0.002127,-2.39,3.805,94.1
A,Y,Low,0.953,-3.662,-0.6626,-0.2817,-2.383,1.785,1.392,-0.2576,-0.375,-3.438,4.664,3.158,61.38
A,X,Medium,0.1848,,-1.192,0.591,0.4866,,0.833,-2.422,0.524,,1.86,0.264,56.2
C,Y,High,-2.281,-0.51,1.392,0.4624,2.428,2.91,,1.312,1.339,0.3477,-0.4868,2.875,71.4
B,X,Medium,4.44,1.143,-0.0585,-0.1458,-0.5225,0.0304,0.9653,-1.396,0.617,-0.4485,0.1862,,23.0
B,X,Medium,0.6763,-0.2576,0.7695,1.794,0.5728,1.745,1.252,-3.938,1.353,1.953,0.2732,5.22,64.0
C,Y,High,0.981,-0.6133,-1.141,0.7256,-0.669,-0.963,0.767,0.7095,-0.161,-3.463,1.666,-3.62,86.5
C,X,Low,-2.736,-2.102,3.33,-7.113,1.316,0.5166,0.3303,0.4397,1.704,4.21,3.383,0.3147,46.5
B,X,High,-3.916,2.746,1.153,0.685,,,1.608,6.387,1.709,-0.11926,1.971,-1.877,78.9
B,Y,High,-1.733,4.098,1.993,-0.8154,,2.0,3.307,0.1484,0.749,0.01765,3.195,-3.156,64.75
,X,Low,0.3289,6.605,-0.613,1.652,3.877,,-0.519,,0.6445,-0.843,-4.08,0.1548,15.195
C,Y,,1.094,3.582,-1.743,3.008,-2.168,-1.178,0.517,0.8936,0.3179,-0.3113,3.205,3.652,11.77
A,Y,,-5.504,-0.3757,1.608,2.883,-0.2416,3.148,2.924,1.715,1.076,-2.395,1.795,3.137,148.4
B,Y,Medium,3.477,1.851,-0.541,-2.934,-2.248,4.508,0.05038,,0.6665,-5.668,-0.05148,-1.348,-2.824
B,X,Low,1.085,0.662,1.034,3.424,0.2944,4.457,1.527,-2.684,1.706,2.678,-5.984,-2.97,74.4
B,,Low,0.3267,1.616,2.855,2.805,-0.471,-1.9,1.526,1.6,1.406,-0.1355,4.496,1.365,102.5
,X,High,0.843,1.158,-1.946,0.741,1.347,-3.137,0.739,1.497,-0.1587,-0.574,-1.681,2.234,35.06
C,Y,,-0.936,5.81,1.755,2.258,-1.92,-3.25,2.197,-0.863,0.717,0.9614,-3.436,3.307,77.44
A,X,Low,0.9453,-0.07043,0.1969,0.6514,-0.9,-3.064,1.25,,1.486,1.007,2.828,-0.9224,33.88
A,X,Medium,-1.891,3.201,-0.965,-2.357,-0.893,-0.8916,1.142,1.269,-0.7637,-2.416,-0.06494,-2.537,41.72
A,X,Medium,-0.551,0.1418,0.7314,-1.075,-1.259,-5.273,1.645,0.2666,0.77,1.094,2.691,1.703,47.25
,X,Low,0.1409,3.635,-1.074,-2.246,0.6274,-4.965,2.023,-3.812,3.455,-0.624,-0.7354,-0.8784,76.4
C,Y,Medium,3.102,,1.828,0.633,-0.2133,0.167,1.067,-0.1653,-0.4197,-1.083,2.107,1.577,32.2
